"SL","Question ID","question","answer","category","Source link","keywords"
"1","Q100001","How do I apply for admission?","You can apply online through the Daffodil International University admission portal or submit a printed form at the admissions office.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","apply admission"
"2","Q100002","What are the admission requirements for undergraduate programs?","Students must have completed HSC or equivalent with a minimum GPA requirement set by the university.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","undergraduate admission"
"3","Q100003","What are the admission requirements for graduate programs?","Applicants must hold a recognized bachelor's degree and meet the GPA and departmental requirements.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","graduate admission"
"4","Q100004","Is there an entrance test?","Yes, some programs require an entrance test. Check your department for details.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","entrance test"
"5","Q100005","Can I apply without my HSC transcript?","No, HSC transcript is mandatory for undergraduate admission.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","HSC transcript required"
"6","Q100006","When is the application deadline?","Deadlines vary by program. Generally, the Fall semester deadline is in July and Spring semester is in December.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","application deadline"
"7","Q100007","Can I change my program after admission?","Yes, with departmental approval, students may change their program within the first month of semester.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","change program"
"8","Q100008","Is there an age limit for admission?","No specific age limit exists, but applicants must meet academic requirements.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","age limit"
"9","Q100009","Can international students apply?","Yes, international students can apply. They must submit equivalent qualifications and English proficiency documents.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","international admission"
"10","Q100010","How do I submit my documents?","Documents can be uploaded online during application or submitted physically at the admission office.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","submit documents"
"11","Q100041","What is the duration of undergraduate programs?","Most undergraduate programs span 4 years, divided into 8 semesters.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","undergraduate duration"
"12","Q100042","What is the duration of graduate programs?","Graduate programs typically last 1–2 years depending on the program.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","graduate duration"
"13","Q100043","What programs are offered in CSE?","The Computer Science & Engineering department offers B.Sc. in CSE, M.Sc. in CSE, and PhD programs.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","CSE programs"
"14","Q100044","What programs are offered in CIS?","The Computing & Information System department offers B.Sc. in CIS and relevant certifications.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","CIS programs"
"15","Q100045","What programs are offered in Business Administration?","BBA and MBA programs are offered with various specializations.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","Business programs"
"16","Q100046","What programs are offered in EEE?","Bachelor’s and Master’s in Electrical & Electronic Engineering are offered.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","EEE programs"
"17","Q100047","What is the medium of instruction?","All courses are taught in English.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","medium instruction"
"18","Q100048","Are there any online programs?","Yes, some programs offer online courses and blended learning options.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","online programs"
"19","Q100049","Can I transfer credits from another university?","Transfer credits are evaluated on a case-by-case basis by the registrar.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","credit transfer"
"20","Q100050","Do programs have practical/lab components?","Yes, most programs include lab and practical components.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","lab components"
"21","Q100051","Is industrial training required?","Yes, industrial training or internships are mandatory in some programs.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","industrial training"
"22","Q100052","Are evening classes available?","Some programs offer evening classes for working students.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","evening classes"
"23","Q100053","How do I choose electives?","Electives can be chosen based on your major and available courses each semester.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","electives"
"24","Q100054","What is the credit hour requirement for graduation?","Undergraduate programs usually require 120–155 credit hours.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","credit hours"
"25","Q100055","Do you offer research opportunities?","Yes, undergraduate and graduate students can participate in research projects.","Programs & Courses","https://daffodilvarsity.edu.bd/programs","research opportunities"
"26","Q100056","Are there student clubs and societies?","Yes, various student clubs exist including robotics, debate, and cultural clubs.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","student clubs"
"27","Q100057","Is on-campus accommodation available?","Yes, hostels are available for both male and female students.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","hostel"
"28","Q100058","Are there sports facilities?","Yes, the university has sports facilities including football, cricket, badminton, and gym.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","sports facilities"
"29","Q100059","Is there a medical center?","Yes, on-campus medical facilities are available for students and staff.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","medical center"
"30","Q100060","Are canteens and cafeterias available?","Yes, there are multiple cafeterias and food courts on campus.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","canteen"
"31","Q100061","Is Wi-Fi available on campus?","Yes, high-speed Wi-Fi is available throughout the campus.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","Wi-Fi"
"32","Q100062","Do you have transportation services?","Yes, university buses provide transportation for students and staff.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","transportation"
"33","Q100063","Are there cultural programs?","Yes, regular cultural events, festivals, and seminars are organized.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","cultural programs"
"34","Q100064","Is there a career guidance center?","Yes, the university has a career and placement center.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","career guidance"
"35","Q100065","Are internships facilitated?","Yes, the university assists students in securing internships with industry partners.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","internship"
"36","Q100066","Can I participate in international exchange programs?","Yes, students can participate in exchange programs with partner universities abroad.","Campus Life","https://daffodilvarsity.edu.bd/campus-life","exchange program"
"37","Q100080","Can I defer my admission?","Yes, admission can be deferred for one semester with approval.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","defer admission"
"38","Q100081","Is there a quota system?","Certain quotas exist for freedom fighters, underprivileged, and special categories.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","quota"
"39","Q100082","Do you accept SSC and HSC from foreign boards?","Yes, equivalent qualifications are accepted for international applicants.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","foreign boards"
"40","Q100083","Are English proficiency tests required?","Yes, TOEFL or IELTS may be required for international students.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","English test"
"41","Q100084","Is there a bridging course for deficient students?","Yes, bridging or foundation courses are offered if prerequisites are missing.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","bridging course"
"42","Q100085","Can I apply after the deadline?","Late applications are considered only under special circumstances.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","late application"
"43","Q100086","Are there admission tests for international students?","Yes, some programs require tests or interviews for international applicants.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","international test"
"44","Q100087","Can I apply for multiple programs?","Yes, multiple applications are allowed but each requires a separate fee.","Admission Requirements & Process","https://daffodilvarsity.edu.bd/admission","multiple programs"
